Trial ID;Game Type;Name Model;Training Step;Race Completion;Checkpoint Max;Time;Max Time;Speed Average;Max Speed;Off Road Time;Hit Number;Max Obstacle
6;Arcade;ArcadeCar-399882;3409;23;23;68,20451;300;32,22989;75;10,97792;1072;25
7;Arcade;ArcadeCar-399882;2775;23;23;55,51253;300;38,92026;75;7,519297;1077;25
8;Arcade;ArcadeCar-399882;3454;23;23;69,06651;300;31,55753;75;16,56471;1083;35
9;Arcade;ArcadeCar-399882;6368;23;23;127,3146;300;17,22798;75;7,761234;1087;29
10;Arcade;ArcadeCar-399882;14996;5;23;300;300;2,215828;75;2,581072;1088;26
11;Arcade;ArcadeCar-399882;15000;20;23;300;300;6,895854;75;257,7818;1092;36
12;Arcade;ArcadeCar-399882;3790;23;23;75,78086;300;28,53581;75;14,83394;1099;34
13;Arcade;ArcadeCar-399882;7773;23;23;155,4751;300;14,4032;75;20,6734;1103;30
14;Arcade;ArcadeCar-399882;2585;23;23;51,69877;300;41,38903;75;7,852343;1106;27
15;Arcade;ArcadeCar-399882;2880;23;23;57,58474;300;37,70694;75;7,388623;1109;27
16;Arcade;ArcadeCar-399882;3052;23;23;61,03856;300;34,61844;75;10,28501;1114;30
17;Arcade;ArcadeCar-399882;2778;23;23;55,57635;300;38,21306;75;12,71672;1117;30
18;Arcade;ArcadeCar-399882;3156;23;23;63,10346;300;34,55631;75;10,27341;1124;29
19;Arcade;ArcadeCar-399882;2921;23;23;58,43552;300;37,14191;75;12,24714;1128;30
20;Arcade;ArcadeCar-399882;8576;23;23;171,5225;300;13,14092;75;10,51803;1132;28
21;Arcade;ArcadeCar-399882;2908;23;23;58,15657;300;38,21503;75;9,991899;1137;35
22;Arcade;ArcadeCar-399882;2417;23;23;48,32956;300;44,61276;75;8,468831;1137;28
23;Arcade;ArcadeCar-399882;3036;23;23;60,71545;300;35,79344;75;12,66597;1143;29
24;Arcade;ArcadeCar-399882;14999;4;23;300;300;2,017133;75;3,337117;1144;33
25;Arcade;ArcadeCar-399882;2941;23;23;58,80314;300;36,56774;75;6,41305;1147;33
26;Arcade;ArcadeCar-399882;3760;23;23;75,19939;300;29,02692;75;23,23569;1149;33
27;Arcade;ArcadeCar-399882;15000;6;23;300;300;2,495842;75;280,5291;1152;31
28;Arcade;ArcadeCar-399882;2562;23;23;51,21588;300;42,67544;75;8,732018;1155;25
29;Arcade;ArcadeCar-399882;3041;23;23;60,8376;300;36,11198;75;15,31693;1160;27
30;Arcade;ArcadeCar-399882;2677;23;23;53,52401;300;40,49776;75;11,37388;1163;31
31;Arcade;ArcadeCar-399882;3845;23;23;76,91387;300;28,11011;75;10,38441;1174;27
32;Arcade;ArcadeCar-399882;14999;11;23;300;300;3,892009;75;5,332211;1177;31
33;Arcade;ArcadeCar-399882;3911;23;23;78,20152;300;28,04996;75;5,89097;1181;26
34;Arcade;ArcadeCar-399882;2544;23;23;50,87666;300;42,66425;75;7,284176;1185;30
