Trial ID;Game Type;Name Model;Training Step;Race Completion;Checkpoint Max;Time;Max Time;Speed Average;Max Speed;Off Road Time;Hit Number;Max Obstacle
17;Arcade;ArcadeCar-799926;2792;23;23;55,83885;300;38,96576;75;16,12897;0;0
18;Arcade;ArcadeCar-799926;2470;23;23;49,41496;300;43,50468;75;9,622432;0;0
19;Arcade;ArcadeCar-799926;2784;23;23;55,66749;300;38,55746;75;17,0306;0;0
20;Arcade;ArcadeCar-799926;2938;23;23;58,75925;300;36,60238;75;21,09032;0;0
21;Arcade;ArcadeCar-799926;2811;23;23;56,23212;300;38,37283;75;17,06452;0;0
22;Arcade;ArcadeCar-799926;2996;23;23;59,92355;300;36,27045;75;22,15039;0;0
23;Arcade;ArcadeCar-799926;2711;23;23;54,21821;300;39,8245;75;15,34417;0;0
24;Arcade;ArcadeCar-799926;2802;23;23;56,02689;300;39,1235;75;16,59452;0;0
25;Arcade;ArcadeCar-799926;2784;23;23;55,69233;300;38,6535;75;17,00092;0;0
0;Arcade;ArcadeCar-899951;2843;23;23;56,85977;300;38,33459;75;19,58152;0;0
1;Arcade;ArcadeCar-899951;2743;23;23;54,86135;300;39,47475;75;16,05361;0;0
2;Arcade;ArcadeCar-899951;2528;23;23;50,56147;300;42,70066;75;10,52823;0;0
3;Arcade;ArcadeCar-899951;2532;23;23;50,62389;300;42,82729;75;11,05;0;0
4;Arcade;ArcadeCar-899951;2623;23;23;52,47332;300;41,37159;75;13,07051;0;0
5;Arcade;ArcadeCar-899951;2523;23;23;50,46173;300;43,09837;75;10,60341;0;0
6;Arcade;ArcadeCar-899951;2948;23;23;58,9449;300;37,26521;75;20,64745;0;0
7;Arcade;ArcadeCar-899951;2503;23;23;50,07389;300;43,40411;75;10,74616;0;0
8;Arcade;ArcadeCar-899951;2533;23;23;50,65849;300;43,03366;75;11,38017;0;0
9;Arcade;ArcadeCar-899951;2590;23;23;51,80363;300;42,00184;75;10,72211;0;0
10;Arcade;ArcadeCar-899951;2478;23;23;49,54459;300;43,54135;75;10,43832;0;0
11;Arcade;ArcadeCar-899951;2560;23;23;51,21368;300;42,46137;75;11,45397;0;0
12;Arcade;ArcadeCar-899951;2634;23;23;52,68034;300;41,38099;75;13,16146;0;0
13;Arcade;ArcadeCar-899951;2430;23;23;48,58273;300;44,25937;75;9,536154;0;0
14;Arcade;ArcadeCar-899951;2536;23;23;50,72239;300;42,87041;75;10,60481;0;0
15;Arcade;ArcadeCar-899951;2571;23;23;51,4332;300;42,4189;75;11,72747;0;0
16;Arcade;ArcadeCar-899951;2463;23;23;49,2599;300;44,10332;75;8,787018;0;0
17;Arcade;ArcadeCar-899951;2550;23;23;51,00136;300;42,331;75;11,74397;0;0
18;Arcade;ArcadeCar-899951;2522;23;23;50,42492;300;43,11166;75;11,21123;0;0
19;Arcade;ArcadeCar-899951;2879;23;23;57,59319;300;37,95683;75;19,73854;0;0
20;Arcade;ArcadeCar-899951;2458;23;23;49,16117;300;43,90556;75;8,649002;0;0
21;Arcade;ArcadeCar-899951;415;2;23;300;300;42,62572;75;2,73967;0;0
22;Arcade;ArcadeCar-899951;2572;23;23;51,43864;300;42,39993;75;11,33845;0;0
23;Arcade;ArcadeCar-899951;2587;23;23;51,73998;300;42,02283;75;12,23891;0;0
24;Arcade;ArcadeCar-899951;428;3;23;300;300;42,34271;75;2,934748;0;0
25;Arcade;ArcadeCar-899951;2777;23;23;55,5404;300;38,99343;75;16,77193;0;0
0;Arcade;ArcadeCar-999953;2446;23;23;48,91708;300;44,46148;75;8,839231;0;0
1;Arcade;ArcadeCar-999953;2584;23;23;51,66817;300;42,20744;75;11,34903;0;0
2;Arcade;ArcadeCar-999953;2514;23;23;50,29403;300;43,48211;75;10,03506;0;0
3;Arcade;ArcadeCar-999953;2462;23;23;49,23817;300;43,85017;75;9,208716;0;0
4;Arcade;ArcadeCar-999953;2486;23;23;49,72248;300;43,65706;75;9,54767;0;0
5;Arcade;ArcadeCar-999953;2533;23;23;50,65738;300;43,14576;75;10,85826;0;0
6;Arcade;ArcadeCar-999953;2530;23;23;50,60163;300;42,63075;75;10,62376;0;0
7;Arcade;ArcadeCar-999953;2427;23;23;48,53738;300;44,73997;75;8,0272;0;0
8;Arcade;ArcadeCar-999953;2505;23;23;50,1038;300;43,10442;75;10,56046;0;0
9;Arcade;ArcadeCar-999953;2839;23;23;56,76414;300;38,61508;75;17,93794;0;0
10;Arcade;ArcadeCar-999953;2441;23;23;48,83226;300;44,12672;75;9,250296;0;0
11;Arcade;ArcadeCar-999953;2230;20;23;300;300;43,54807;75;9,599046;0;0
12;Arcade;ArcadeCar-999953;2562;23;23;51,23736;300;42,60664;75;11,37118;0;0
13;Arcade;ArcadeCar-999953;2548;23;23;50,96164;300;43,05241;75;10,85806;0;0
